0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.02	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.03	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
0.04	0
